Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;52.7702;52.2415;40;20;0;35
Customer 2;51.9595;58.1589;20;10;0;25
Customer 3;51.7696;55.1043;10;5;0;20
Customer 4;52.5206;52.7678;10;5;0;20
Customer 5;53.6581;52.4386;10;5;13;27
Customer 6;51.8582;58.4354;20;10;33;42
Customer 7;51.035;59.8769;20;10;56;64
Customer 8;52.0894;53.6453;10;5;57;62
Customer 9;52.8033;52.2185;20;10;60;68
Customer 10;51.1842;58.2805;20;10;70;79
Customer 11;52.775;52.2476;10;5;74;80
Customer 12;51.2119;58.6016;20;10;75;83
Customer 13;52.0892;53.6376;10;5;87;93
Customer 14;51.0361;59.8688;10;5;91;96
Customer 15;52.4334;53.157;10;5;106;112
Customer 16;52.7859;52.2601;40;20;111;126
Customer 17;51.255;58.4539;10;5;124;129
Customer 18;51.7654;55.3405;10;5;135;140
Customer 19;51.7588;55.103;10;5;138;143
Customer 20;51.2332;58.4725;20;10;139;147
Customer 21;51.0357;59.8731;10;5;141;146
Customer 22;51.9966;55.3203;10;5;142;148
Customer 23;52.7883;52.2605;10;5;142;148
Customer 24;51.7853;55.1561;20;10;144;152
Customer 25;51.2541;58.4841;20;10;147;155
Customer 26;51.2507;58.4235;10;5;172;178
Customer 27;51.2523;58.439;10;5;190;196
Customer 28;52.7767;52.2509;10;5;190;195
Customer 29;52.7967;52.238;20;10;201;209
Customer 30;51.7699;55.1054;10;5;211;216
Customer 31;51.8545;55.1262;10;5;215;220
Customer 32;51.4685;58.4568;10;5;220;225
Customer 33;51.4068;57.5835;10;5;224;229
Customer 34;52.4035;53.1677;10;5;228;234
Customer 35;50.998;55.6145;10;5;228;233
Customer 36;51.2534;58.4403;10;5;258;263
Customer 37;51.8543;55.1578;10;5;262;267
Customer 38;51.6391;54.3809;10;5;264;269
Customer 39;51.2463;58.4628;10;5;266;272
Customer 40;52.0897;53.6453;10;5;279;284
Customer 41;51.1996;58.3169;40;20;290;305
Customer 42;51.2242;58.504;20;10;310;319
Customer 43;51.8018;55.083;20;10;310;319
Customer 44;51.254;58.4841;10;5;310;315
Customer 45;51.2286;58.4872;10;5;317;323
Customer 46;51.2541;58.4843;10;5;320;326
Customer 47;51.2214;58.4827;10;5;320;325
Customer 48;51.1998;58.571;10;5;320;326
Customer 49;51.0326;59.8781;10;5;320;325
