Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;51.2249;58.4839;10;5;0;20
Customer 2;51.2126;58.6553;10;5;0;20
Customer 3;51.2244;58.494;10;5;0;20
Customer 4;51.4773;57.3434;10;5;0;20
Customer 5;51.836;55.1595;10;5;0;20
Customer 6;51.8166;55.1698;10;5;0;20
Customer 7;51.7797;55.1048;10;5;0;20
Customer 8;51.8036;55.1418;10;5;0;20
Customer 9;53.6121;52.406;10;5;0;20
Customer 10;51.1703;54.9852;10;5;4;22
Customer 11;52.7466;52.2636;10;5;8;24
Customer 12;51.2119;58.6016;20;10;13;32
Customer 13;51.5289;53.3726;10;5;14;27
Customer 14;51.7981;55.0491;40;20;24;47
Customer 15;51.7324;55.0885;10;5;27;34
Customer 16;50.7574;59.533;10;5;32;38
Customer 17;50.7574;59.5331;10;5;32;38
Customer 18;52.7767;52.2509;10;5;38;44
Customer 19;51.2297;58.6354;10;5;45;50
Customer 20;51.1959;58.3185;20;10;48;57
Customer 21;52.7753;52.2507;10;5;50;56
Customer 22;51.7803;56.357;10;5;52;57
Customer 23;52.4328;53.1556;10;5;54;60
Customer 24;51.2573;58.4267;10;5;55;60
Customer 25;51.1927;58.2937;10;5;57;62
Customer 26;52.7768;52.2508;10;5;57;63
Customer 27;52.7672;52.2867;10;5;59;64
Customer 28;51.0347;59.8758;20;10;59;68
Customer 29;51.4821;57.3763;10;5;60;65
Customer 30;51.7956;56.3517;20;10;63;72
Customer 31;51.2214;58.4827;10;5;65;71
Customer 32;51.2541;58.4841;10;5;68;73
Customer 33;51.7939;55.1396;10;5;69;74
Customer 34;51.7755;55.1218;10;5;71;77
Customer 35;51.8582;58.4354;20;10;81;89
Customer 36;51.7188;55.0935;10;5;83;88
Customer 37;51.1944;58.6175;60;30;84;107
Customer 38;51.8545;55.1262;10;5;85;90
Customer 39;51.2541;58.4844;10;5;88;93
Customer 40;51.8065;55.1483;10;5;89;95
Customer 41;52.7679;52.2737;40;20;98;112
Customer 42;51.8173;55.1732;10;5;99;105
Customer 43;51.0786;55.4702;10;5;107;112
Customer 44;51.254;58.4843;10;5;109;114
Customer 45;51.2109;58.3061;10;5;114;120
Customer 46;53.6581;52.4386;10;5;126;132
Customer 47;51.2116;58.6598;10;5;135;140
Customer 48;51.7588;55.103;10;5;138;144
Customer 49;51.8123;55.1777;10;5;138;143
Customer 50;51.1924;58.6214;10;5;139;144
Customer 51;51.4105;57.4902;10;5;139;145
Customer 52;51.2425;58.4743;20;10;140;149
Customer 53;51.0357;59.8731;10;5;143;149
Customer 54;51.7642;55.0748;10;5;143;149
Customer 55;51.2115;58.6096;10;5;144;150
Customer 56;51.2097;58.3067;20;10;145;154
Customer 57;51.2072;58.5599;10;5;146;151
Customer 58;51.206;58.612;10;5;151;157
Customer 59;50.9973;55.6144;10;5;153;159
Customer 60;52.5407;52.8208;10;5;157;162
Customer 61;51.2542;58.4842;10;5;161;167
Customer 62;51.2114;58.6555;10;5;161;166
Customer 63;51.8343;55.1302;10;5;162;168
Customer 64;51.2542;58.4842;10;5;164;169
Customer 65;51.7837;55.0923;10;5;166;172
Customer 66;51.8722;54.2096;10;5;166;172
Customer 67;51.2338;58.5342;40;20;168;183
Customer 68;51.4586;58.4434;10;5;169;175
Customer 69;51.5964;54.1608;20;10;169;178
Customer 70;51.2539;58.4836;40;20;177;190
Customer 71;51.2916;58.4174;10;5;177;182
Customer 72;51.7853;55.1561;20;10;178;186
Customer 73;51.2088;58.5607;20;10;178;187
Customer 74;51.4771;57.3492;20;10;180;188
Customer 75;51.9654;58.16;10;5;181;186
Customer 76;52.074;53.6586;10;5;182;187
Customer 77;53.6521;52.4365;10;5;183;189
Customer 78;51.2221;58.491;10;5;184;189
Customer 79;51.0346;59.8783;10;5;192;197
Customer 80;51.2227;58.4897;20;10;192;201
Customer 81;52.7727;52.2468;20;10;193;202
Customer 82;51.7762;55.14;10;5;194;200
Customer 83;52.4035;53.168;10;5;195;201
Customer 84;51.713;55.2174;10;5;198;204
Customer 85;51.0362;59.8732;20;10;199;207
Customer 86;51.2135;58.6109;10;5;202;208
Customer 87;51.2463;58.4628;10;5;202;207
Customer 88;51.6396;54.3809;10;5;202;208
Customer 89;51.2628;58.4516;10;5;213;218
Customer 90;51.9842;55.335;10;5;213;219
Customer 91;51.2541;58.4842;10;5;215;221
Customer 92;52.7466;52.264;10;5;216;221
Customer 93;51.1959;58.3191;20;10;217;226
Customer 94;51.7797;56.3563;40;20;217;233
Customer 95;51.1539;55.0004;10;5;218;223
Customer 96;52.4042;53.1634;10;5;224;229
Customer 97;51.4587;58.4352;40;20;224;239
Customer 98;51.2569;58.605;20;10;225;234
Customer 99;51.7196;55.1808;10;5;227;233
Customer 100;51.8362;55.1532;10;5;228;234
Customer 101;51.157;54.9864;10;5;231;236
Customer 102;51.1583;54.9983;10;5;235;241
Customer 103;51.9981;55.3208;10;5;236;241
Customer 104;51.2286;58.4872;10;5;246;251
Customer 105;52.7768;52.2529;20;10;249;258
Customer 106;51.2239;58.4946;10;5;249;255
Customer 107;51.2203;58.4757;10;5;250;256
Customer 108;51.7178;55.1092;10;5;251;256
Customer 109;51.2209;58.6791;10;5;252;258
Customer 110;51.2183;58.4737;10;5;252;257
Customer 111;51.2541;58.441;10;5;258;264
Customer 112;52.7977;52.2375;10;5;259;265
Customer 113;52.7697;52.2418;20;10;265;274
Customer 114;51.7767;56.3776;10;5;265;270
Customer 115;51.482;57.3762;10;5;268;274
Customer 116;51.4769;57.3506;10;5;270;276
Customer 117;51.8086;55.0935;10;5;270;276
Customer 118;51.8764;54.1805;10;5;270;276
Customer 119;51.4586;58.4434;10;5;273;279
Customer 120;51.0326;59.8781;10;5;274;279
Customer 121;52.7834;52.2654;10;5;276;281
Customer 122;51.1917;58.2926;10;5;278;284
Customer 123;51.0351;59.8769;10;5;285;291
Customer 124;51.2241;58.4941;10;5;286;292
Customer 125;51.4685;58.4568;10;5;289;295
Customer 126;52.7727;52.2465;10;5;292;297
Customer 127;51.254;58.4843;10;5;292;298
Customer 128;51.2539;58.4842;10;5;296;301
Customer 129;51.2541;58.441;10;5;299;304
Customer 130;51.1917;58.2927;10;5;303;309
Customer 131;51.2086;58.6142;10;5;303;308
Customer 132;52.4035;53.1677;10;5;306;312
Customer 133;51.0359;59.8703;20;10;308;317
Customer 134;51.1998;58.571;10;5;308;314
Customer 135;50.7643;59.5504;10;5;320;325
Customer 136;51.2092;58.5615;10;5;320;325
Customer 137;51.4885;57.3771;10;5;320;326
Customer 138;51.7712;55.1036;10;5;320;325
Customer 139;51.0359;59.8698;10;5;320;326
