Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;52.7779;52.2379;10;5;0;20
Customer 2;52.7701;52.2417;20;10;0;25
Customer 3;52.806;52.2456;20;10;0;25
Customer 4;52.7755;52.2533;40;20;0;35
Customer 5;51.205;58.2994;10;5;0;20
Customer 6;51.713;55.2174;10;5;0;20
Customer 7;51.1966;58.3124;10;5;0;20
Customer 8;52.847;53.4867;20;10;0;25
Customer 9;51.2465;58.4326;10;5;0;20
Customer 10;51.7196;55.1808;10;5;0;20
Customer 11;51.2541;58.441;10;5;2;21
Customer 12;51.7797;55.1048;10;5;2;21
Customer 13;51.8678;58.2302;10;5;9;25
Customer 14;51.254;58.4843;20;10;11;31
Customer 15;51.2348;58.6521;10;5;13;27
Customer 16;51.5364;54.9908;20;10;13;32
Customer 17;51.4068;57.5835;10;5;15;28
Customer 18;52.7761;52.2516;10;5;18;29
Customer 19;51.4771;57.3492;20;10;26;38
Customer 20;51.4885;57.3771;10;5;27;34
Customer 21;51.2425;58.4743;20;10;31;41
Customer 22;51.2366;58.4755;20;10;32;41
Customer 23;51.254;58.4841;10;5;33;38
Customer 24;51.4773;57.3434;10;5;45;50
Customer 25;51.254;58.4842;10;5;45;50
Customer 26;51.2541;58.4815;10;5;48;54
Customer 27;51.4685;58.4568;20;10;49;57
Customer 28;51.2542;58.4842;10;5;50;55
Customer 29;51.7696;52.7448;10;5;50;56
Customer 30;52.8468;53.4893;40;20;51;64
Customer 31;51.2088;58.5607;20;10;55;63
Customer 32;51.7724;55.1324;10;5;59;64
Customer 33;51.2336;58.637;10;5;59;65
Customer 34;52.7948;52.2417;10;5;60;65
Customer 35;51.2541;58.4841;20;10;65;74
Customer 36;52.7704;52.2428;20;10;67;75
Customer 37;52.5241;52.7433;20;10;67;75
Customer 38;51.7749;55.1849;10;5;68;73
Customer 39;51.2239;58.4946;10;5;74;79
Customer 40;51.7816;56.3759;10;5;74;79
Customer 41;51.2128;58.6006;20;10;76;84
Customer 42;51.0359;59.8753;20;10;78;87
Customer 43;51.8283;55.1317;10;5;81;86
Customer 44;51.2114;58.6555;10;5;84;90
Customer 45;51.0359;59.8698;10;5;88;93
Customer 46;51.1959;58.3185;20;10;89;97
Customer 47;51.2565;58.4275;10;5;92;97
Customer 48;51.206;58.612;10;5;95;100
Customer 49;51.7588;55.1092;10;5;98;103
Customer 50;51.2573;58.4267;10;5;100;106
Customer 51;52.4421;53.1376;10;5;102;108
Customer 52;51.0355;59.8783;10;5;104;110
Customer 53;51.8336;55.1257;10;5;109;114
Customer 54;51.2916;58.4174;10;5;114;119
Customer 55;51.1876;58.2844;10;5;114;120
Customer 56;51.4586;58.4434;10;5;121;127
Customer 57;51.2088;58.5607;60;30;124;143
Customer 58;51.8657;58.223;10;5;125;130
Customer 59;51.2203;58.4757;10;5;126;132
Customer 60;51.7917;55.1379;10;5;126;132
Customer 61;51.2297;58.6354;10;5;134;139
Customer 62;51.2502;58.4459;10;5;136;141
Customer 63;51.2092;58.5615;10;5;137;143
Customer 64;51.2118;58.6598;10;5;139;144
Customer 65;52.7466;52.2636;10;5;139;145
Customer 66;51.7741;55.0788;10;5;140;146
Customer 67;51.1865;58.2786;10;5;143;149
Customer 68;51.5225;53.3976;40;20;145;159
Customer 69;51.7692;52.7458;10;5;145;151
Customer 70;51.0366;59.8687;10;5;146;151
Customer 71;51.7708;55.3712;10;5;151;157
Customer 72;51.2542;58.484;10;5;152;157
