Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;52.4327;53.1556;20;10;0;25
Customer 2;52.4051;53.1736;10;5;0;20
Customer 3;51.2217;58.4962;10;5;0;20
Customer 4;51.2539;58.4842;10;5;0;20
Customer 5;51.2603;58.4567;10;5;0;20
Customer 6;51.4769;57.3506;10;5;0;20
Customer 7;51.2426;58.4738;20;10;0;25
Customer 8;51.7945;55.1639;10;5;0;20
Customer 9;51.7762;55.14;10;5;0;20
Customer 10;52.7734;52.2567;10;5;0;20
Customer 11;51.0351;59.8769;10;5;0;20
Customer 12;51.611;53.9102;10;5;0;20
Customer 13;50.7678;59.5238;10;5;0;20
Customer 14;51.7845;55.0775;10;5;3;22
Customer 15;50.7652;59.5252;20;10;4;27
Customer 16;51.0357;59.8731;10;5;8;24
Customer 17;51.2628;58.4516;10;5;8;24
Customer 18;50.7627;59.5232;20;10;9;30
Customer 19;51.5226;53.396;40;20;14;42
Customer 20;51.7765;55.1093;10;5;15;28
Customer 21;51.8264;55.1633;10;5;15;28
Customer 22;51.7956;56.3517;20;10;16;33
Customer 23;52.7767;52.2509;10;5;18;29
Customer 24;51.2099;58.2996;10;5;19;30
Customer 25;51.8383;55.1273;10;5;20;30
Customer 26;52.4328;53.1556;10;5;23;32
Customer 27;51.4065;57.5834;10;5;24;32
Customer 28;51.5362;54.9908;10;5;24;32
Customer 29;51.2196;58.6248;10;5;27;34
Customer 30;52.7779;52.2379;10;5;28;34
Customer 31;51.8283;55.1576;10;5;28;34
Customer 32;51.1907;58.2931;10;5;30;36
Customer 33;51.0786;55.4702;10;5;31;37
Customer 34;51.784;55.0924;20;10;32;41
Customer 35;52.7767;52.2533;10;5;35;41
Customer 36;51.2241;58.4941;10;5;36;41
Customer 37;51.8063;55.1706;10;5;38;43
Customer 38;51.2217;58.4839;10;5;39;45
Customer 39;51.7178;55.1092;10;5;39;44
Customer 40;50.7534;59.5352;10;5;41;46
Customer 41;51.7854;55.0761;10;5;42;48
Customer 42;50.9973;55.6144;10;5;43;49
Customer 43;50.7557;59.5213;10;5;51;57
Customer 44;53.5932;52.4288;20;10;52;61
Customer 45;51.0346;59.8783;10;5;59;64
Customer 46;51.8065;55.1483;10;5;60;66
Customer 47;51.2541;58.4841;10;5;61;66
Customer 48;51.8166;55.0885;10;5;61;67
Customer 49;52.5241;52.7433;20;10;62;70
Customer 50;51.8565;54.9822;10;5;63;69
Customer 51;51.9601;58.1603;10;5;66;72
Customer 52;51.1819;58.2815;20;10;76;85
Customer 53;50.7582;59.5271;20;10;79;87
Customer 54;51.8731;54.2066;40;20;80;94
Customer 55;51.2541;58.4841;10;5;83;89
Customer 56;51.4587;58.4352;40;20;89;103
Customer 57;51.2245;58.4774;10;5;90;96
Customer 58;51.7632;55.073;20;10;97;106
Customer 59;51.2569;58.605;20;10;101;109
Customer 60;51.2226;58.4907;10;5;102;107
