Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;52.7779;52.2379;10;5;0;40
Customer 2;52.7701;52.2417;20;10;0;50
Customer 3;52.806;52.2456;20;10;0;50
Customer 4;52.7755;52.2533;40;20;0;70
Customer 5;51.205;58.2994;10;5;0;40
Customer 6;51.713;55.2174;10;5;0;40
Customer 7;51.1966;58.3124;10;5;0;40
Customer 8;52.847;53.4867;20;10;0;50
Customer 9;51.2465;58.4326;10;5;0;40
Customer 10;51.7196;55.1808;10;5;0;40
Customer 11;51.2541;58.441;10;5;2;40
Customer 12;51.7797;55.1048;10;5;2;40
Customer 13;51.8678;58.2302;10;5;9;40
Customer 14;51.254;58.4843;20;10;11;50
Customer 15;51.2348;58.6521;10;5;13;40
Customer 16;51.5364;54.9908;20;10;13;50
Customer 17;51.4068;57.5835;10;5;15;40
Customer 18;52.7761;52.2516;10;5;18;40
Customer 19;51.4771;57.3492;20;10;26;50
Customer 20;51.4885;57.3771;10;5;27;40
Customer 21;51.2425;58.4743;20;10;31;50
Customer 22;51.2366;58.4755;20;10;32;50
Customer 23;51.254;58.4841;10;5;33;43
Customer 24;51.4773;57.3434;10;5;45;55
Customer 25;51.254;58.4842;10;5;45;55
Customer 26;51.2541;58.4815;10;5;48;59
Customer 27;51.4685;58.4568;20;10;49;65
Customer 28;51.2542;58.4842;10;5;50;60
Customer 29;51.7696;52.7448;10;5;50;61
Customer 30;52.8468;53.4893;40;20;51;77
Customer 31;51.2088;58.5607;20;10;55;71
Customer 32;51.7724;55.1324;10;5;59;69
Customer 33;51.2336;58.637;10;5;59;70
Customer 34;52.7948;52.2417;10;5;60;70
Customer 35;51.2541;58.4841;20;10;65;82
Customer 36;52.7704;52.2428;20;10;67;82
Customer 37;52.5241;52.7433;20;10;67;83
Customer 38;51.7749;55.1849;10;5;68;78
Customer 39;51.2239;58.4946;10;5;74;84
Customer 40;51.7816;56.3759;10;5;74;84
Customer 41;51.2128;58.6006;20;10;76;92
Customer 42;51.0359;59.8753;20;10;78;96
Customer 43;51.8283;55.1317;10;5;81;91
Customer 44;51.2114;58.6555;10;5;84;95
Customer 45;51.0359;59.8698;10;5;88;98
Customer 46;51.1959;58.3185;20;10;89;104
Customer 47;51.2565;58.4275;10;5;92;102
Customer 48;51.206;58.612;10;5;95;105
Customer 49;51.7588;55.1092;10;5;98;108
Customer 50;51.2573;58.4267;10;5;100;111
Customer 51;52.4421;53.1376;10;5;102;113
Customer 52;51.0355;59.8783;10;5;104;115
Customer 53;51.8336;55.1257;10;5;109;119
Customer 54;51.2916;58.4174;10;5;114;124
Customer 55;51.1876;58.2844;10;5;114;125
Customer 56;51.4586;58.4434;10;5;121;132
Customer 57;51.2088;58.5607;60;30;124;162
Customer 58;51.8657;58.223;10;5;125;135
Customer 59;51.2203;58.4757;10;5;126;137
Customer 60;51.7917;55.1379;10;5;126;137
Customer 61;51.2297;58.6354;10;5;134;144
Customer 62;51.2502;58.4459;10;5;136;146
Customer 63;51.2092;58.5615;10;5;137;148
Customer 64;51.2118;58.6598;10;5;139;149
Customer 65;52.7466;52.2636;10;5;139;150
Customer 66;51.7741;55.0788;10;5;140;151
Customer 67;51.1865;58.2786;10;5;143;154
Customer 68;51.5225;53.3976;40;20;145;173
Customer 69;51.7692;52.7458;10;5;145;156
Customer 70;51.0366;59.8687;10;5;146;156
Customer 71;51.7708;55.3712;10;5;151;162
Customer 72;51.2542;58.484;10;5;152;162
Customer 73;51.8123;55.1777;10;5;161;172
Customer 74;51.8099;55.1707;20;10;164;180
Customer 75;52.7728;52.2456;10;5;167;177
Customer 76;51.4054;57.5821;60;30;168;211
Customer 77;52.7928;52.2686;10;5;168;179
Customer 78;50.7534;59.5352;10;5;169;179
Customer 79;51.9981;55.3208;10;5;169;180
Customer 80;51.2226;58.4907;10;5;173;183
Customer 81;51.2542;58.4842;10;5;174;184
Customer 82;52.7752;52.2493;10;5;176;187
Customer 83;51.7847;55.1151;10;5;177;187
Customer 84;51.8722;54.2096;10;5;177;187
Customer 85;51.5301;53.3766;10;5;180;190
Customer 86;51.1923;58.6217;10;5;181;191
Customer 87;51.205;58.4612;20;10;182;197
Customer 88;51.2242;58.504;20;10;183;199
Customer 89;51.7845;55.0775;10;5;183;194
Customer 90;52.7729;52.2456;10;5;187;197
Customer 91;52.7728;52.2456;20;10;191;208
Customer 92;51.2031;58.31;10;5;192;202
Customer 93;51.8093;55.1703;10;5;192;203
Customer 94;51.2342;58.6376;10;5;193;203
Customer 95;51.1582;54.9767;20;10;193;210
Customer 96;51.5289;53.3726;10;5;195;206
Customer 97;51.4587;58.4353;10;5;198;209
Customer 98;51.9981;55.3208;10;5;199;209
Customer 99;51.0361;59.8688;10;5;202;213
Customer 100;51.8698;58.2293;10;5;202;212
Customer 101;51.254;58.4841;10;5;207;218
Customer 102;51.254;58.4841;10;5;212;223
Customer 103;51.8291;55.1425;10;5;213;223
Customer 104;52.5407;52.8208;10;5;215;226
Customer 105;51.7632;55.073;20;10;217;235
Customer 106;51.8378;55.1419;40;20;224;250
Customer 107;51.4586;58.4434;10;5;224;235
Customer 108;51.0347;59.8758;20;10;225;242
Customer 109;51.254;58.4843;10;5;225;236
Customer 110;51.2332;58.4725;20;10;228;244
Customer 111;52.7904;52.2649;10;5;235;245
Customer 112;51.2539;58.4842;10;5;238;248
Customer 113;52.5299;52.741;10;5;239;249
Customer 114;51.2542;58.4845;20;10;243;259
Customer 115;51.8582;58.4354;20;10;248;263
Customer 116;51.7797;56.3577;20;10;249;267
Customer 117;50.998;55.6145;10;5;249;260
Customer 118;51.1923;58.6217;10;5;250;261
Customer 119;51.2559;58.4315;10;5;250;261
Customer 120;51.2603;58.4567;10;5;252;262
Customer 121;51.8101;55.1711;20;10;252;269
Customer 122;51.8036;55.1418;10;5;252;262
Customer 123;51.254;58.4842;20;10;254;269
Customer 124;51.8545;55.1262;10;5;258;269
Customer 125;51.8547;55.1263;20;10;259;277
Customer 126;51.2247;58.4846;10;5;262;273
Customer 127;51.9842;55.335;10;5;265;276
Customer 128;51.8584;58.4353;20;10;266;283
Customer 129;52.7766;52.2505;10;5;270;281
Customer 130;51.7961;55.0415;10;5;272;283
Customer 131;51.8776;54.19;20;10;276;291
Customer 132;52.7928;52.2423;40;20;281;306
Customer 133;51.3823;58.9627;40;20;284;315
Customer 134;52.7638;52.2631;40;20;290;317
Customer 135;53.6512;52.4418;40;20;290;320
Customer 136;52.7884;52.258;10;5;296;306
Customer 137;51.2294;58.6203;10;5;302;313
Customer 138;51.4586;58.4434;10;5;303;314
Customer 139;51.8764;54.1805;10;5;303;313
Customer 140;51.2553;58.4539;10;5;307;317
Customer 141;51.7753;55.1215;10;5;308;319
Customer 142;51.8478;55.1402;10;5;308;318
Customer 143;51.0396;59.8775;10;5;308;319
Customer 144;51.2118;58.6604;20;10;310;325
Customer 145;51.0313;59.8708;20;10;310;327
Customer 146;51.255;58.4539;10;5;310;321
Customer 147;52.7699;52.2418;10;5;317;327
Customer 148;52.7765;52.2508;10;5;320;331
Customer 149;52.7701;52.2417;10;5;320;331
Customer 150;51.2286;58.4822;10;5;320;330
Customer 151;51.763;55.0892;10;5;320;331
Customer 152;51.7623;55.1166;10;5;320;330
Customer 153;51.7689;55.1061;10;5;320;330
Customer 154;51.8063;55.1706;10;5;320;331
