Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;51.2249;58.4839;10;5;0;40
Customer 2;51.2126;58.6553;10;5;0;40
Customer 3;51.2244;58.494;10;5;0;40
Customer 4;51.4773;57.3434;10;5;0;40
Customer 5;51.836;55.1595;10;5;0;40
Customer 6;51.8166;55.1698;10;5;0;40
Customer 7;51.7797;55.1048;10;5;0;40
Customer 8;51.8036;55.1418;10;5;0;40
Customer 9;53.6121;52.406;10;5;0;40
Customer 10;51.1703;54.9852;10;5;4;40
Customer 11;52.7466;52.2636;10;5;8;40
Customer 12;51.2119;58.6016;20;10;13;50
Customer 13;51.5289;53.3726;10;5;14;40
Customer 14;51.7981;55.0491;40;20;24;70
Customer 15;51.7324;55.0885;10;5;27;40
Customer 16;50.7574;59.533;10;5;32;43
Customer 17;50.7574;59.5331;10;5;32;43
Customer 18;52.7767;52.2509;10;5;38;49
Customer 19;51.2297;58.6354;10;5;45;55
Customer 20;51.1959;58.3185;20;10;48;66
Customer 21;52.7753;52.2507;10;5;50;61
Customer 22;51.7803;56.357;10;5;52;62
Customer 23;52.4328;53.1556;10;5;54;65
Customer 24;51.2573;58.4267;10;5;55;65
Customer 25;51.1927;58.2937;10;5;57;67
Customer 26;52.7768;52.2508;10;5;57;68
Customer 27;52.7672;52.2867;10;5;59;69
Customer 28;51.0347;59.8758;20;10;59;76
Customer 29;51.4821;57.3763;10;5;60;70
Customer 30;51.7956;56.3517;20;10;63;80
Customer 31;51.2214;58.4827;10;5;65;76
Customer 32;51.2541;58.4841;10;5;68;78
Customer 33;51.7939;55.1396;10;5;69;79
Customer 34;51.7755;55.1218;10;5;71;82
Customer 35;51.8582;58.4354;20;10;81;96
Customer 36;51.7188;55.0935;10;5;83;93
Customer 37;51.1944;58.6175;60;30;84;130
Customer 38;51.8545;55.1262;10;5;85;95
Customer 39;51.2541;58.4844;10;5;88;98
Customer 40;51.8065;55.1483;10;5;89;100
