Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;52.4038;53.1683;10;5;0;40
Customer 2;51.0355;59.8783;10;5;0;40
Customer 3;51.2247;58.4846;10;5;0;40
Customer 4;51.2463;58.4628;10;5;0;40
Customer 5;51.8378;55.1418;40;20;0;70
Customer 6;51.2297;58.4774;10;5;0;40
Customer 7;51.8264;55.1633;10;5;0;40
Customer 8;51.8136;55.1715;10;5;0;40
Customer 9;51.7883;55.07;10;5;0;40
Customer 10;51.4592;58.4445;20;10;0;50
Customer 11;50.7678;59.5238;10;5;0;40
Customer 12;52.7701;52.2417;20;10;2;50
Customer 13;51.96;58.16;20;10;2;50
Customer 14;52.7729;52.2456;10;5;9;40
Customer 15;51.4587;58.4352;40;20;11;70
Customer 16;51.7753;55.1215;10;5;13;40
Customer 17;51.2507;58.4235;10;5;14;40
Customer 18;52.7679;52.2737;40;20;15;70
Customer 19;51.7692;52.7458;10;5;24;40
Customer 20;52.8043;52.2256;20;10;26;50
Customer 21;52.7848;52.2691;20;10;27;50
Customer 22;51.0366;59.8687;10;5;27;40
Customer 23;52.7967;52.238;20;10;31;50
Customer 24;51.4771;57.3492;20;10;32;50
Customer 25;52.7768;52.2508;10;5;32;43
Customer 26;52.7466;52.2637;40;20;33;70
Customer 27;51.2571;58.4426;10;5;45;55
Customer 28;51.254;58.4842;20;10;45;61
Customer 29;51.1583;54.9983;10;5;48;59
Customer 30;52.7765;52.2508;10;5;50;60
Customer 31;51.2342;58.6376;10;5;50;61
Customer 32;51.8099;55.1707;20;10;52;68
Customer 33;51.7956;56.3517;20;10;55;71
Customer 34;51.2539;58.4843;20;10;59;74
Customer 35;51.2461;58.4609;10;5;59;70
Customer 36;51.4586;58.4434;10;5;60;70
Customer 37;52.5206;52.7678;10;5;63;74
Customer 38;51.482;57.3764;10;5;65;76
Customer 39;51.232;58.4668;10;5;68;78
Customer 40;51.8722;54.2098;10;5;69;79
Customer 41;51.1907;58.293;10;5;71;82
Customer 42;53.6565;52.4377;10;5;74;84
Customer 43;51.0357;59.8731;10;5;74;84
Customer 44;51.7767;56.3776;10;5;81;91
Customer 45;51.2541;58.441;10;5;83;93
Customer 46;51.2245;58.4774;10;5;84;95
Customer 47;51.2183;58.4737;10;5;88;98
Customer 48;52.5206;52.7678;10;5;89;99
Customer 49;52.7768;52.2508;10;5;89;100
Customer 50;52.7701;52.2417;10;5;92;102
Customer 51;52.7675;52.2865;20;10;95;111
Customer 52;51.1997;58.3103;20;10;98;114
Customer 53;51.5235;53.3744;10;5;99;110
Customer 54;52.7699;52.2418;10;5;100;111
Customer 55;50.7574;59.5331;10;5;109;119
Customer 56;52.4092;53.1622;10;5;114;124
Customer 57;51.8776;54.19;20;10;114;131
Customer 58;51.2465;58.4326;10;5;115;126
Customer 59;52.7677;52.2747;20;10;124;140
Customer 60;52.7701;52.2417;10;5;125;135
Customer 61;52.7771;52.2698;10;5;126;137
Customer 62;51.2192;58.3004;10;5;126;137
Customer 63;52.7946;52.2345;60;30;136;172
Customer 64;52.4421;53.1376;10;5;137;148
Customer 65;51.7741;55.0788;10;5;138;149
Customer 66;51.7981;55.0491;40;20;139;167
Customer 67;51.2336;58.637;10;5;139;150
Customer 68;51.7763;55.1398;10;5;140;151
Customer 69;51.7762;55.14;10;5;143;154
Customer 70;52.7767;52.2509;10;5;143;154
