Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;51.2217;58.4839;10;5;6;40
Customer 2;52.7466;52.2636;10;5;67;77
Customer 3;51.1703;54.9852;10;5;74;84
Customer 4;52.8043;52.2256;20;10;90;105
Customer 5;51.7213;55.114;20;10;110;125
Customer 6;52.7944;52.2736;10;5;113;124
Customer 7;51.9627;58.341;10;5;148;158
Customer 8;51.1983;58.3084;10;5;157;168
Customer 9;51.4105;57.4902;10;5;169;179
Customer 10;51.836;55.1595;10;5;177;188
Customer 11;51.4821;57.3763;10;5;208;218
Customer 12;51.254;58.4841;10;5;244;254
Customer 13;51.6396;54.3809;10;5;261;271
Customer 14;51.2114;58.6598;60;30;270;316
Customer 15;51.2461;58.4609;10;5;277;287
Customer 16;51.2534;58.4403;10;5;291;302
Customer 17;51.1905;58.2929;20;10;310;328
Customer 18;51.2242;58.504;20;10;310;326
Customer 19;51.2269;58.4759;10;5;320;330
