Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;51.205;58.2994;10;5;0;40
Customer 2;51.1966;58.3124;10;5;0;40
Customer 3;52.847;53.4867;20;10;0;50
Customer 4;51.5364;54.9908;20;10;13;50
Customer 5;51.4885;57.3771;10;5;27;40
Customer 6;51.2366;58.4755;20;10;32;50
Customer 7;51.4773;57.3434;10;5;45;55
Customer 8;51.7588;55.1092;10;5;98;108
Customer 9;51.4586;58.4434;10;5;121;132
Customer 10;51.2502;58.4459;10;5;136;146
Customer 11;52.7466;52.2636;10;5;139;150
Customer 12;51.0366;59.8687;10;5;146;156
Customer 13;51.8378;55.1419;40;20;224;250
Customer 14;51.9842;55.335;10;5;265;276
Customer 15;51.0313;59.8708;20;10;310;327
