Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;52.7767;52.2769;20;10;0;50
Customer 2;51.2119;58.6016;20;10;0;50
Customer 3;51.2109;58.3061;10;5;0;40
Customer 4;51.0326;59.8781;10;5;0;40
Customer 5;51.2242;58.4941;10;5;4;40
Customer 6;51.836;55.1595;10;5;4;40
Customer 7;51.4685;58.4568;10;5;7;40
Customer 8;51.2229;58.4927;20;10;12;50
Customer 9;51.7968;55.1418;10;5;15;40
Customer 10;52.7677;52.2747;20;10;17;50
Customer 11;51.2569;58.605;20;10;20;50
Customer 12;51.4771;57.3492;20;10;37;54
Customer 13;51.1842;58.2805;20;10;39;57
Customer 14;51.2114;58.6598;60;30;40;90
Customer 15;51.206;58.612;10;5;40;50
Customer 16;51.232;58.4668;10;5;51;62
Customer 17;51.7196;55.1808;10;5;59;69
Customer 18;51.7692;52.7458;10;5;69;79
Customer 19;51.205;58.4612;20;10;71;88
Customer 20;52.7774;52.2536;10;5;74;84
Customer 21;51.5235;53.3744;10;5;75;85
Customer 22;51.797;55.1025;10;5;75;86
Customer 23;52.5387;52.8244;10;5;94;104
Customer 24;51.2271;58.5064;10;5;95;105
Customer 25;51.2501;58.4567;10;5;101;111
Customer 26;51.4885;57.3771;10;5;102;112
Customer 27;51.8063;55.1706;10;5;115;126
Customer 28;51.7717;55.109;10;5;135;145
Customer 29;52.7753;52.2507;10;5;137;147
Customer 30;52.7859;52.2601;40;20;150;177
Customer 31;51.7696;55.1041;10;5;162;173
Customer 32;52.0894;53.6453;10;5;174;185
Customer 33;51.1907;58.293;10;5;175;186
Customer 34;51.1489;58.2285;20;10;178;193
Customer 35;51.1924;58.6214;10;5;178;188
Customer 36;51.1917;58.2926;10;5;179;190
Customer 37;50.7627;59.5232;20;10;180;198
Customer 38;51.8378;55.1418;40;20;185;216
Customer 39;51.8268;55.1621;10;5;203;214
Customer 40;51.2628;58.4516;10;5;204;215
Customer 41;52.7638;52.2631;40;20;205;235
Customer 42;52.7465;52.2641;10;5;215;225
Customer 43;52.7834;52.2654;10;5;216;227
Customer 44;51.3823;58.9627;40;20;216;247
Customer 45;51.2089;58.5608;10;5;218;228
Customer 46;51.0362;59.8686;10;5;225;236
Customer 47;52.7767;52.2533;10;5;231;242
Customer 48;53.6581;52.4386;10;5;239;249
Customer 49;51.2541;58.4841;10;5;258;269
Customer 50;52.5298;52.741;10;5;260;271
Customer 51;51.7566;55.2719;10;5;263;274
Customer 52;51.8158;55.1642;10;5;263;274
Customer 53;51.4637;58.4403;10;5;269;279
Customer 54;51.7654;55.3405;10;5;270;280
Customer 55;50.7678;59.5238;10;5;272;282
Customer 56;51.2543;58.4842;10;5;285;296
Customer 57;51.4587;58.4352;40;20;290;322
Customer 58;51.8778;55.1428;10;5;291;302
Customer 59;52.4421;53.1376;10;5;302;313
Customer 60;51.6396;54.3809;10;5;305;316
Customer 61;51.5234;53.3741;20;10;310;328
