Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;51.7797;56.3576;20;10;0;50
Customer 2;51.0359;59.8698;10;5;0;40
Customer 3;51.4592;58.4445;20;10;0;50
Customer 4;51.2239;58.4946;10;5;10;40
Customer 5;51.8063;55.1706;10;5;18;40
Customer 6;51.286;58.4415;10;5;36;46
Customer 7;51.2553;58.4539;10;5;58;68
Customer 8;51.8425;55.138;10;5;58;68
Customer 9;51.9981;55.3208;10;5;77;88
Customer 10;52.847;53.4867;20;10;79;95
Customer 11;51.8099;55.1707;20;10;80;96
Customer 12;52.0894;53.6452;10;5;81;92
Customer 13;51.7956;56.3517;20;10;84;100
Customer 14;51.7807;56.3554;40;20;90;117
Customer 15;51.0362;59.8732;20;10;98;113
Customer 16;52.7461;52.2644;10;5;106;117
Customer 17;52.7755;52.2533;40;20;109;139
Customer 18;52.4311;53.155;10;5;119;130
Customer 19;51.4842;57.3661;10;5;121;131
Customer 20;51.1489;58.2285;20;10;124;140
Customer 21;51.8698;58.2293;10;5;125;135
Customer 22;51.7566;55.2719;10;5;130;140
Customer 23;52.7772;52.2522;10;5;161;172
Customer 24;52.7771;52.2698;10;5;163;173
Customer 25;51.7765;55.1093;10;5;167;177
Customer 26;51.2332;58.4725;20;10;168;184
Customer 27;51.254;58.4842;10;5;189;200
Customer 28;51.7588;55.1092;10;5;204;215
Customer 29;51.0357;59.8731;10;5;213;223
Customer 30;51.7188;55.0935;10;5;213;224
Customer 31;51.254;58.4842;10;5;216;227
Customer 32;51.4586;58.4434;10;5;220;231
Customer 33;52.7767;52.2509;10;5;258;269
Customer 34;51.482;57.3763;20;10;259;275
Customer 35;51.1553;54.9986;20;10;269;286
Customer 36;52.7768;52.2508;10;5;275;286
Customer 37;51.7632;55.073;20;10;280;296
Customer 38;51.2209;58.6791;10;5;284;294
Customer 39;51.7797;56.3563;40;20;290;322
Customer 40;51.836;55.1595;10;5;295;306
Customer 41;52.7977;52.2375;10;5;300;311
Customer 42;52.4327;53.1556;20;10;304;320
Customer 43;52.7768;52.2508;10;5;308;319
Customer 44;52.4224;53.1419;20;10;310;325
Customer 45;51.8657;58.223;10;5;318;328
Customer 46;51.806;55.143;10;5;320;330
