Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;51.2559;58.4315;10;5;0;40
Customer 2;51.2088;58.5607;60;30;6;90
Customer 3;51.7981;55.0934;40;20;18;70
Customer 4;50.7582;59.5271;20;10;22;50
Customer 5;51.7196;55.1808;10;5;38;48
Customer 6;52.7697;52.2418;20;10;48;64
Customer 7;51.2135;58.6109;10;5;63;74
Customer 8;51.7767;56.3776;10;5;101;112
Customer 9;51.2101;58.6227;20;10;108;124
Customer 10;51.8284;55.1163;20;10;113;129
Customer 11;52.0894;53.6452;10;5;114;125
Customer 12;52.847;53.4867;20;10;135;153
Customer 13;52.7467;52.2634;10;5;158;168
Customer 14;51.2059;58.6118;20;10;164;182
Customer 15;51.482;57.3763;20;10;164;179
Customer 16;51.8547;55.1263;20;10;166;182
Customer 17;51.5292;53.3932;10;5;179;190
Customer 18;51.1582;54.9767;20;10;186;202
Customer 19;51.8214;55.1672;10;5;212;222
Customer 20;51.7622;55.1072;10;5;217;228
Customer 21;52.7766;52.2505;10;5;219;230
Customer 22;51.9613;58.3366;10;5;238;248
Customer 23;52.7957;52.2392;10;5;249;260
Customer 24;51.7837;55.0923;10;5;255;265
Customer 25;51.1707;54.9853;20;10;259;277
Customer 26;51.2581;58.4552;10;5;260;270
Customer 27;51.77;55.1044;10;5;264;275
Customer 28;51.7629;55.089;10;5;271;281
Customer 29;51.2338;58.5342;40;20;281;309
Customer 30;51.0357;59.8731;20;10;283;299
Customer 31;52.806;52.2456;20;10;302;318
Customer 32;52.4334;53.157;10;5;307;317
Customer 33;51.7696;55.1041;10;5;320;330
Customer 34;51.2564;58.6049;10;5;320;331
